school_name,ad,pri_pub,active_stu,lat,lng,private,cath,chiris,pope
Archdiocese of Los Angeles,F‐1,"Private, non‐profit",1625,34.0613259,-118.2983873,True,True,False,False
EF International Academy,F‐1,"Private, for profit",1043,41.1068651,-73.76860099999999,True,False,False,False
Roman Catholic Diocese of Rockville Centre,F‐1,"Private, non‐profit",911,40.6578232,-73.6453058,True,False,False,False
Archdiocese of Philadelphia,F‐1,"Private, non‐profit",765,39.9575083,-75.1677624,True,True,False,False
Fairmont Private Schools,F‐1,"Private, for profit",716,33.830368,-117.9360249,True,False,False,False
CATS Academy Boston,F‐1,"Private, for profit",598,42.1719802,-71.0135178,True,False,False,False
Montverde Academy,F‐1,"Private, non‐profit",587,28.597584,-81.675186,True,False,False,False
IMG ACADEMY,F‐1,"Private, for profit",547,27.4408534,-82.6086662,True,False,False,False
Archdiocese of Chicago,F‐1,"Private, non‐profit",505,41.8977219,-87.6258565,True,True,False,False
North Broward Preparatory School,F‐1,"Private, for profit",497,26.3264542,-80.1824127,True,False,False,False
Southlands Christian Schools,F‐1,"Private, non‐profit",450,33.979388,-117.9005863,True,False,True,False
"American Learning Systems, Inc.",F‐1,"Private, for profit",382,40.736956,-73.81441629999999,True,False,False,False
Keio Academy of New York,F‐1,"Private, non‐profit",362,41.0309252,-73.71981509999999,True,False,False,False
Archdiocese of New York,F‐1,"Private, unspecified",361,40.7575432,-73.9640057,True,True,False,False
Roman Catholic  Schools of Archdiocese of Newark,F‐1,"Private, non‐profit",344,40.7550683,-74.1771164,True,True,False,False
The Village School,F‐1,"Private, for profit",343,29.7457,-95.617724,True,False,False,False
Anaheim Discovery Christian Schools,F‐1,"Private, non‐profit",317,33.8373117,-117.8990237,True,False,True,False
Broadfording Christian Academy,F‐1,"Private, non‐profit",312,39.6868093,-77.7943301,True,False,True,False
Archdiocese of Hartford,F‐1,"Private, non‐profit",291,41.7682672,-72.691099,True,True,False,False
Paramus Catholic High School,F‐1,"Private, non‐profit",289,40.9554257,-74.0954457,True,False,False,False
Archdiocese of Milwaukee,F‐1,"Private, non‐profit",288,42.9803592,-87.8649495,True,True,False,False
Diocese of Providence Catholic Schools,F‐1,"Private, non‐profit",278,41.8291428,-71.4431846,True,False,False,False
St. Johnsbury Academy,F‐1,"Private, unspecified",276,44.416193,-72.019289,True,False,False,False
THORNTON ACADEMY,F‐1,"Private, unspecified",268,43.50538299999999,-70.439059,True,False,False,False
Ross School,F‐1,"Private, unspecified",265,40.9692819,-72.2417945,True,False,False,False
Windermere Preparatory School,F‐1,"Private, unspecified",256,28.4768293,-81.56830479999999,True,False,False,False
Diocese of Bridgeport,F‐1,"Private, unspecified",246,41.2118414,-73.21713869999999,True,False,False,False
"Catholic School System, Diocese of Brownsville",F‐1,"Private, non‐profit",241,25.8953779,-97.49307019999999,True,False,False,False
Kent School,F‐1,"Private, non‐profit",240,41.7267191,-73.48264929999999,True,False,False,False
"The Quarry Lane School, Inc.",F‐1,"Private, for profit",237,37.7276191,-121.8701495,True,False,False,False
Idyllwild Arts Academy,F‐1,"Private, non‐profit",230,33.733713,-116.7468108,True,False,False,False
Diocese of Orlando,F‐1,"Private, non‐profit",227,28.5451597,-81.37786609999999,True,False,False,False
"Diocese of Trenton, New Jersey",F‐1,"Private, non‐profit",224,40.25561099999999,-74.742457,True,False,False,False
Layton Christian Academy,F‐1,"Private, unspecified",223,41.1050762,-111.9221958,True,False,True,False
Riverside Christian Schools,F‐1,"Private, unspecified",223,33.9287758,-117.4342102,True,False,True,False
The Grier School,F‐1,"Private, non‐profit",220,40.6462019,-78.19344660000002,True,False,False,False
"Archdiocese of San Francisco, Department of Catholic Schools",F‐1,"Private, non‐profit",217,37.7856707,-122.4238576,True,True,False,False
Crean Lutheran High School,F‐1,"Private, unspecified",215,33.70217,-117.731936,True,False,False,False
Diocese of San Bernardino,F‐1,"Private, unspecified",212,34.1349327,-117.2609062,True,False,False,False
"Pope John XXIII High School, Inc.",F‐1,"Private, non‐profit",210,42.4203445,-71.0448881,True,False,False,True
